hotel_name,hotel_location,hotel_rating,hotel_star_rating,hotel_review_count,date,room_type,price,currency,amenities,availability,cancellation_policy,meal_plan
Bloom Boutique - Chelon Haveli,"Amer, Jaipur",9.1,3,1217,2025-12-14,King 20 m²,4648.0,INR,,Available,,
Bloom Boutique - Chelon Haveli,"Amer, Jaipur",9.1,3,1217,2025-12-14,Suite 41 m²,4655.0,INR,,Available,,
The Grand Anukampa Richi Rich Studio,"Shyam Nagar, Jaipur",7.1,4,446,2025-12-09,No Rooms Found,,INR,,Not Available,,
Umaid Mahal - A Heritage Style Boutique Hotel,"Bani Park, Jaipur",8.5,4,2666,2026-01-04,kings 88,7971.0,INR,,Available,,
Umaid Mahal - A Heritage Style Boutique Hotel,"Bani Park, Jaipur",8.5,4,2666,2026-01-04,king Express check-in Free WiFi See details Original Price,6933.0,INR,,Available,,
Umaid Mahal - A Heritage Style Boutique Hotel,"Bani Park, Jaipur",8.5,4,2666,2026-01-04,king Express check-in Free WiFi See details,7203.0,INR,,Available,,
Umaid Mahal - A Heritage Style Boutique Hotel,"Bani Park, Jaipur",8.5,4,2666,2026-01-04,Deluxe 40 m²,9000.0,INR,,Available,,
Hilton Jaipur,"Bais Godam, Jaipur",8.4,5,1912,2025-12-16,Early Booking Saver.,11290.0,INR,Minibar;Wi-Fi [free];Breakfast;WiFi;Balcony;Early Booking Saver.;City View;Air Conditioning,Available,Non-refundable,Breakfast Included
Hilton Jaipur,"Bais Godam, Jaipur",8.4,5,1912,2025-12-16,King Executive Room With Lounge Access 34 Sqm/bfst-drinks-snacks In Lounge/high Flr Comp Std Wifi/hd,11290.0,INR,Minibar;Wi-Fi [free];Breakfast;WiFi;Balcony;Early Booking Saver.;City View;Air Conditioning,Available,Non-refundable,Breakfast Included
Hilton Jaipur,"Bais Godam, Jaipur",8.4,5,1912,2025-12-16,King Executive Room With City View 34 Sqm/bfst-drinks-snacks In Lounge/high Flr Comp Std Wifi/hd Sat,11719.0,INR,Minibar;Breakfast;WiFi;Early Booking Saver.;City View;Air Conditioning,Available,Non-refundable,Breakfast Included
Hilton Jaipur,"Bais Godam, Jaipur",8.4,5,1912,2025-12-16,King 1 Bedroom Suite With City View 62 Sqm/bfst-drinks-snacks In Lounge/media Hub Large Seating Area,17669.0,INR,Minibar;Breakfast;Early Booking Saver.;City View;Air Conditioning,Available,Non-refundable,Breakfast Included
Lohagarh Fort Resort,"Kukas, Jaipur",8.7,5,637,2026-01-05,No Rooms Found,,INR,,Not Available,,
Leisure Inn Grand Chanakya,"Ashok Nagar, Jaipur",7.6,5,1420,2026-01-04,Standard Room,,INR,,Not Available,,
Hotel Magenta,"Bani Park, Jaipur",7.1,4,613,2025-12-25,No Rooms Found,,INR,,Not Available,,
"The Fern Habitat, Jaipur","The Fern Habitat, Jaipur",7.7,4,547,2026-01-06,Premium Room,,INR,Breakfast;City View;Air Conditioning;Parking,Not Available,Free Cancellation,Breakfast Included
"The Fern Habitat, Jaipur","The Fern Habitat, Jaipur",7.7,4,547,2026-01-06,Superior Room,,INR,Breakfast;Air Conditioning;Parking,Not Available,Free Cancellation,
The Leela Palace Jaipur,"Kukas, Jaipur",9.1,5,1122,2026-01-02,king form just before the payment page,68833.0,INR,,Available,,
The Leela Palace Jaipur,"Kukas, Jaipur",9.1,5,1122,2026-01-02,king Express check-in Free WiFi See details Original Price,68833.0,INR,,Available,,
The Leela Palace Jaipur,"Kukas, Jaipur",9.1,5,1122,2026-01-02,king Parking Local admission tickets Spa Discount 15,68833.0,INR,,Available,,
The Leela Palace Jaipur,"Kukas, Jaipur",9.1,5,1122,2026-01-02,king Bike rental Express check-in Free WiFi See details Original Price,68833.0,INR,,Available,,
The Leela Palace Jaipur,"Kukas, Jaipur",9.1,5,1122,2026-01-02,King Bed Room 43 m²,68833.0,INR,,Available,,
The Leela Palace Jaipur,"Kukas, Jaipur",9.1,5,1122,2026-01-02,Suite 60 m²,73095.0,INR,,Available,,
The Leela Palace Jaipur,"Kukas, Jaipur",9.1,5,1122,2026-01-02,Twin 46 m²,76700.0,INR,,Available,,
The Leela Palace Jaipur,"Kukas, Jaipur",9.1,5,1122,2026-01-02,king bed Your kid can stay for FREE,76700.0,INR,,Available,,
The Leela Palace Jaipur,"Kukas, Jaipur",9.1,5,1122,2026-01-02,king bed 8,71286.0,INR,,Available,,
The Leela Palace Jaipur,"Kukas, Jaipur",9.1,5,1122,2026-01-02,Twin 104 m²,76510.0,INR,,Available,,
The Leela Palace Jaipur,"Kukas, Jaipur",9.1,5,1122,2026-01-02,king Express check-in Free WiFi See details,76510.0,INR,,Available,,
The Leela Palace Jaipur,"Kukas, Jaipur",9.1,5,1122,2026-01-02,king bed Bathtub Hair dryer Shower Air conditioning Mini bar Coffee,76510.0,INR,,Available,,
The Leela Palace Jaipur,"Kukas, Jaipur",9.1,5,1122,2026-01-02,Twin 105 m²,76510.0,INR,,Available,,
The Leela Palace Jaipur,"Kukas, Jaipur",9.1,5,1122,2026-01-02,king bed Recommended Your kid can stay for FREE,113093.0,INR,,Available,,
The Leela Palace Jaipur,"Kukas, Jaipur",9.1,5,1122,2026-01-02,Suite 214 m²,495010.0,INR,,Available,,
"The Fern Residency, Jaipur","The Fern Residency, Jaipur",8.3,4,1183,2025-12-11,No Rooms Found,,INR,,Not Available,,
Moustache Hostel Jaipur,"Sindhi Camp, Jaipur",8.5,5,2339,2025-12-09,No Rooms Found,,INR,,Not Available,,
Khush Haveli,"Removed from saved list Khush Haveli Jalupura, Jaipur",9.8,,7,2025-12-11,Twin Room,1800.0,INR,Air Conditioning,Available,,
The Grand Anukampa Richi Rich Studio,"Shyam Nagar, Jaipur",7.1,4,446,2025-12-10,No Rooms Found,,INR,,Not Available,,
Bloom Boutique - Chelon Haveli,"Amer, Jaipur",9.1,3,1217,2025-12-15,king Smoke-free property Garden About us Nestled in the vibrant area of Amer,11094.0,INR,,Available,,
Bloom Boutique - Chelon Haveli,"Amer, Jaipur",9.1,3,1217,2025-12-15,king Free WiFi See details Last minute price drop,11094.0,INR,,Available,,
Bloom Boutique - Chelon Haveli,"Amer, Jaipur",9.1,3,1217,2025-12-15,queen bed Your kid can stay for FREE,11274.0,INR,,Available,,
Bloom Boutique - Chelon Haveli,"Amer, Jaipur",9.1,3,1217,2025-12-15,Suite 41 m²,4655.0,INR,,Available,,
Hotel Highway King Bagru,"Bichpari, Jaipur",8.0,3,235,2025-12-11,No Rooms Found,,INR,,Not Available,,
Hilton Jaipur,"Bais Godam, Jaipur",8.4,5,1912,2025-12-17,Early Booking Saver.,11290.0,INR,Minibar;Wi-Fi [free];Breakfast;WiFi;Balcony;Early Booking Saver.;City View;Air Conditioning,Available,Non-refundable,Breakfast Included
Hilton Jaipur,"Bais Godam, Jaipur",8.4,5,1912,2025-12-17,King Executive Room With Lounge Access 34 Sqm/bfst-drinks-snacks In Lounge/high Flr Comp Std Wifi/hd,11290.0,INR,Minibar;Wi-Fi [free];Breakfast;WiFi;Balcony;Early Booking Saver.;City View;Air Conditioning,Available,Non-refundable,Breakfast Included
Hilton Jaipur,"Bais Godam, Jaipur",8.4,5,1912,2025-12-17,King Executive Room With City View 34 Sqm/bfst-drinks-snacks In Lounge/high Flr Comp Std Wifi/hd Sat,11719.0,INR,Minibar;Breakfast;WiFi;Early Booking Saver.;City View;Air Conditioning,Available,Non-refundable,Breakfast Included
Hilton Jaipur,"Bais Godam, Jaipur",8.4,5,1912,2025-12-17,King 1 Bedroom Suite With City View 62 Sqm/bfst-drinks-snacks In Lounge/media Hub Large Seating Area,17669.0,INR,Minibar;Breakfast;Early Booking Saver.;City View;Air Conditioning,Available,Non-refundable,Breakfast Included
Gypsy Monkey,"Sindhi Camp, Jaipur",8.3,2,1655,2025-12-12,Deluxe Room,,INR,,Not Available,,
"The Fern Habitat, Jaipur","The Fern Habitat, Jaipur",7.7,4,547,2026-01-07,Premium Room,,INR,Breakfast;City View;Air Conditioning;Parking,Not Available,Free Cancellation,Breakfast Included
"The Fern Habitat, Jaipur","The Fern Habitat, Jaipur",7.7,4,547,2026-01-07,Superior Room,,INR,Breakfast;Air Conditioning;Parking,Not Available,Free Cancellation,
Leisure Inn Grand Chanakya,"Ashok Nagar, Jaipur",7.6,5,1420,2026-01-05,Standard Room,,INR,,Not Available,,
Lohagarh Fort Resort,"Kukas, Jaipur",8.7,5,637,2026-01-06,No Rooms Found,,INR,,Not Available,,
Khush Haveli,"Removed from saved list Khush Haveli Jalupura, Jaipur",9.8,,7,2025-12-12,Single Room,1500.0,INR,Air Conditioning,Available,,
