name,url,rating,review_count,star_rating,location
Hotel Mahadev Regency,https://www.agoda.com/mahadev-regency/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=0215cae5-4d08-4330-9022-e807a1671ddc,6.9,37.0,3.0,"Sindhi Camp, Jaipur"
Hotel Galaxy Inn,https://www.agoda.com/galaxy-inn_2/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=3&los=1&searchrequestid=ca13cf08-ea17-4abf-b6d2-45c4edacdebf,6.8,26.0,3.0,"Sindhi Camp, Jaipur"
Hotel Cheelgadi,https://www.agoda.com/hotel-cheelgadi-h37013964/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=ca13cf08-ea17-4abf-b6d2-45c4edacdebf,7.4,8.0,3.0,"Jaipur Airport, Jaipur"
The Divine Hospitality (Grand Anukampa),https://www.agoda.com/the-grand-anukampa-hospitality/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=2&los=1&searchrequestid=ca13cf08-ea17-4abf-b6d2-45c4edacdebf,6.8,82.0,4.0,"Shyam Nagar, Jaipur"
Collection O Jaipur Patrika Gate,https://www.agoda.com/collection-o-jln-marg-malviya-nagar/hotel/brahmbad-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=ca13cf08-ea17-4abf-b6d2-45c4edacdebf,3.4,10.0,4.0,"Jaipur Airport, Jaipur"
Townhouse Jagatpura Downtown Formerly Hotel Buddhi,https://www.agoda.com/townhouse-453-hotel-buddhi-2/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=4&los=1&searchrequestid=ca13cf08-ea17-4abf-b6d2-45c4edacdebf,4.4,99.0,4.0,"Jaipur Airport, Jaipur"
Hotel Bhanwar Niwas,https://www.agoda.com/hotel-bhanwar-niwas-h65747153/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=ca13cf08-ea17-4abf-b6d2-45c4edacdebf,4.8,3.0,3.0,"Jaipur Airport, Jaipur"
The Bliss Hotel - Jaipur,https://www.agoda.com/the-bliss-hotel-jaipur/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=ca13cf08-ea17-4abf-b6d2-45c4edacdebf,5.2,1.0,3.0,"Baori, Jaipur"
The Umaid Vilas Royal Heritage Haveli,https://www.agoda.com/the-umaid-vilas/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=ca13cf08-ea17-4abf-b6d2-45c4edacdebf,8.7,37.0,3.0,"Amer, Jaipur"
Hoztel Jaipur,https://www.agoda.com/hoztel-jaipur_2/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=1&los=1&searchrequestid=ca13cf08-ea17-4abf-b6d2-45c4edacdebf,9.1,460.0,2.0,"Bani Park, Jaipur"
