name,url,rating,review_count,star_rating,location
Hotel Kanji Palace,https://www.agoda.com/hotel-kanji-palace-h24107129/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=2cb02e25-6964-4cf5-a1c2-a80a229cca90,,,,
Super Collection O Sindhi Camp Bus Stand Formerly Hotel Metro View,https://www.agoda.com/oyo-flagship-809594-hotel-metro-view/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=2cb02e25-6964-4cf5-a1c2-a80a229cca90,5.4,136.0,3.0,"Sindhi Camp, Jaipur"
FabHotel The Grand Anukampa,https://www.agoda.com/fabhotel-the-grand-anukampa/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=2cb02e25-6964-4cf5-a1c2-a80a229cca90,5.9,31.0,3.0,"Shyam Nagar, Jaipur"
Luxe Stay's,https://www.agoda.com/luxe-stay-s/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=2cb02e25-6964-4cf5-a1c2-a80a229cca90,6.8,3.0,3.0,"Bhanktrota, Jaipur"
Collection O Govind Marg,https://www.agoda.com/oyo-40206-townhouse-uc-col-o-atish-market/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=2cb02e25-6964-4cf5-a1c2-a80a229cca90,,,,
Hotel Kaushiki Palace,https://www.agoda.com/hotel-kaushiki-palace/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=2cb02e25-6964-4cf5-a1c2-a80a229cca90,8.0,6.0,3.0,"Khatipura, Jaipur"
Hotel Kings Corner,https://www.agoda.com/hotel-kings-corner/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=2cb02e25-6964-4cf5-a1c2-a80a229cca90,6.8,131.0,3.0,"Raja Park, Jaipur"
Hotel Raj Kothi Jaipur Airport,https://www.agoda.com/hotel-raj-kothi-jaipur-airport/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=2&los=1&searchrequestid=2cb02e25-6964-4cf5-a1c2-a80a229cca90,8.3,197.0,2.0,"Jaipur Airport, Jaipur"
FabHotel Avondale - Sitapura,https://www.agoda.com/hotal-avondale/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=2cb02e25-6964-4cf5-a1c2-a80a229cca90,6.8,9.0,3.0,"Jaipur Airport, Jaipur"
Super Hotel O Jagatpura Near JTM Mall Formerly Royan Inn,https://www.agoda.com/oyo-jai1273-rayal-inn/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=3&los=1&searchrequestid=2cb02e25-6964-4cf5-a1c2-a80a229cca90,7.1,43.0,3.0,"Jaipur Airport, Jaipur"
