name,url,rating,review_count,star_rating,location
Foxoso Fiori Hotel,https://www.agoda.com/fiori-hotel/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=14b9b150-6340-46bc-8e12-a8912f0c86bd,8.8,79.0,4.0,"Chitrakoot, Jaipur"
Boby Home Stay ( Boby Mansion ),https://www.agoda.com/boby-mansion/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=14b9b150-6340-46bc-8e12-a8912f0c86bd,,,,
Royal Heritage Haveli - By Leisure Hotels,https://www.agoda.com/royal-heritage-haveli/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=14b9b150-6340-46bc-8e12-a8912f0c86bd,8.9,487.0,5.0,"Khatipura, Jaipur"
Treebo Premium Vinnie - Near Airport,https://www.agoda.com/hotel-vinnie-h50292767/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=14b9b150-6340-46bc-8e12-a8912f0c86bd,6.2,43.0,4.0,"Jaipur Airport, Jaipur"
Noble House - A Heritage Home,https://www.agoda.com/noble-house-a-heritage-home/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=5&los=1&searchrequestid=14b9b150-6340-46bc-8e12-a8912f0c86bd,8.1,534.0,5.0,"Khatipura, Jaipur"
Pandya Niwas,https://www.agoda.com/pandya-niwas_3/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=14b9b150-6340-46bc-8e12-a8912f0c86bd,7.8,1083.0,3.0,"Amer, Jaipur"
Hotel Royal Empire,https://www.agoda.com/capital-o-18514-hotel-royal-empire/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=1723c357-6c0c-417d-adef-497a480f2ee6,6.3,192.0,3.0,"Jaipur Airport, Jaipur"
Marigold Inn - Homestay,https://www.agoda.com/marigold-inn-homestay/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=1&los=1&searchrequestid=1723c357-6c0c-417d-adef-497a480f2ee6,9.3,449.0,4.0,"Shanti Nagar, Jaipur"
Hotel me-casa inn,https://www.agoda.com/hotel-me-casa-inn/hotel/all/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=1723c357-6c0c-417d-adef-497a480f2ee6,,,,"Mansarovar, Jaipur"
Maru Casa,https://www.agoda.com/maru-casa/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=1723c357-6c0c-417d-adef-497a480f2ee6,7.3,141.0,3.0,"Sindhi Camp, Jaipur"
Regenta Inn Jaipur,https://www.agoda.com/regenta-inn-jaipur/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=9&los=1&searchrequestid=1723c357-6c0c-417d-adef-497a480f2ee6,7.5,306.0,3.0,"Adarsh Nagar, Jaipur"
The Pink Nest - Backpackers Abode,https://www.agoda.com/the-pink-nest/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=2&los=1&searchrequestid=1723c357-6c0c-417d-adef-497a480f2ee6,8.8,335.0,3.0,"Jalupura, Jaipur"
