name,url,rating,review_count,star_rating,location
Hotel Shubh Vilas,https://www.agoda.com/hotel-shubh-vilas-h39574485/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=e5981b32-c2b0-4a14-a0d3-b608a5283cdb,8.2,76.0,4.0,"Kalwar, Jaipur"
Hotel 24 Inn,https://www.agoda.com/hotel-24-inn/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=e5981b32-c2b0-4a14-a0d3-b608a5283cdb,8.4,2.0,3.0,"Bhanktrota, Jaipur"
EDEN OAKS LEGANCY,https://www.agoda.com/eden-oaks-legancy/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=e5981b32-c2b0-4a14-a0d3-b608a5283cdb,7.5,7.0,2.0,"Shyam Nagar, Jaipur"
House Of Backpackers,https://www.agoda.com/house-of-backpackers_2/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=2&los=1&searchrequestid=e5981b32-c2b0-4a14-a0d3-b608a5283cdb,8.7,218.0,3.0,"Jalupura, Jaipur"
Hotel City Home - A Heritage Hotel,https://www.agoda.com/hotel-city-home/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=e5981b32-c2b0-4a14-a0d3-b608a5283cdb,8.3,10.0,2.0,"Raja Park, Jaipur"
Raj Regency,https://www.agoda.com/raj-regency-h31187627/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=2&los=1&searchrequestid=e5981b32-c2b0-4a14-a0d3-b608a5283cdb,7.9,240.0,3.0,"Jaipur Airport, Jaipur"
Inde Signature Jaipur,https://www.agoda.com/inde-signature-jaipur/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=e5981b32-c2b0-4a14-a0d3-b608a5283cdb,8.0,140.0,4.0,"Jaipur Airport, Jaipur"
Hotel O The Moon Rover,https://www.agoda.com/hotel-o-the-moon-rover/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=e5981b32-c2b0-4a14-a0d3-b608a5283cdb,,,,
Horn Ok Please Hostel Jaipur,https://www.agoda.com/horn-ok-please-hostel-jaipur/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=1&los=1&searchrequestid=e5981b32-c2b0-4a14-a0d3-b608a5283cdb,9.0,255.0,1.0,"Jalupura, Jaipur"
Aanchal Palace Hotel Jaipur,https://www.agoda.com/aanchal-palace-hotel/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=e5981b32-c2b0-4a14-a0d3-b608a5283cdb,7.0,4.0,3.0,"Baori, Jaipur"
"Hotel Shivansh, RIICO Mansarovar",https://www.agoda.com/hotel-shivansh-riico-mansarovar/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=e5981b32-c2b0-4a14-a0d3-b608a5283cdb,7.8,2.0,3.0,"Bhanktrota, Jaipur"
Super Townhouse Durgapura formerly Gumaan Heritage,https://www.agoda.com/oyo-rooms-171-durgapura-railway-station/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=e5981b32-c2b0-4a14-a0d3-b608a5283cdb,,,,
