name,url,rating,review_count,star_rating,location
Hotel O AARAV HOTEL,https://www.agoda.com/snazzy-s-home-stay/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=19403d62-6080-498b-ac03-9a6129c4f953,9.1,9.0,3.0,"Bhanktrota, Jaipur"
VVIP ADDRESS 12 Jagatpura,https://www.agoda.com/vvip-address-12-jagatpura/hotel/all/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=19403d62-6080-498b-ac03-9a6129c4f953,8.7,34.0,4.0,"Jaipur Airport, Jaipur"
FabHotel JBS Jaipur Heritage,https://www.agoda.com/fabhotel-shekhawati-heritage/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=19403d62-6080-498b-ac03-9a6129c4f953,5.9,19.0,3.0,"Jaipur Airport, Jaipur"
FabHotel Jai Palace Comfortable Stay,https://www.agoda.com/fabhotel-jai-palace-comfortable-stay/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=19403d62-6080-498b-ac03-9a6129c4f953,,,3.0,"Shyam Nagar, Jaipur"
Two bedroom apartment with terrace,https://www.agoda.com/two-bedroom-apartment-with-terrace/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=19403d62-6080-498b-ac03-9a6129c4f953,,,5.0,"Kalwar, Jaipur"
Pink Vista Hotel,https://www.agoda.com/pink-vista-hotel/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=19403d62-6080-498b-ac03-9a6129c4f953,,,3.0,"Khatipura, Jaipur"
Airport Vista 3BHK Apartment + Netflix & Prime,https://www.agoda.com/airport-vista-3bhk-apartment-netflix-prime/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=19403d62-6080-498b-ac03-9a6129c4f953,,,5.0,"Jaipur Airport, Jaipur"
Jaipur farm house,https://www.agoda.com/jaipur-farm-house-h37380239/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=19403d62-6080-498b-ac03-9a6129c4f953,8.5,15.0,3.0,"Baori, Jaipur"
Hotel Avana by Tia Hotels,https://www.agoda.com/hotel-avana/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=19403d62-6080-498b-ac03-9a6129c4f953,6.1,35.0,3.0,"Vaishali Nagar, Jaipur"
Hotel Luxurs 3 Star Hotel in Ridhishidhi Jaipur,https://www.agoda.com/hotel-luxurs-3-star-hotel-in-ridhishidhi-jaipur/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=19403d62-6080-498b-ac03-9a6129c4f953,2.4,1.0,3.0,"Gopalpura, Jaipur"
